sg_uf,nm_municipio,ds_genero,ds_raca_cor,ds_grau_instrucao,qtd
AL,Maceió,FEMININO,Amarela,ANALFABETO,2
AL,Maceió,FEMININO,Amarela,ENSINO FUNDAMENTAL COMPLETO,11
AL,Maceió,FEMININO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,33
AL,Maceió,FEMININO,Amarela,ENSINO MÉDIO COMPLETO,126
AL,Maceió,FEMININO,Amarela,ENSINO MÉDIO INCOMPLETO,50
AL,Maceió,FEMININO,Amarela,LÊ E ESCREVE,5
AL,Maceió,FEMININO,Amarela,SUPERIOR COMPLETO,41
AL,Maceió,FEMININO,Amarela,SUPERIOR INCOMPLETO,20
AL,Maceió,FEMININO,Branca,ANALFABETO,94
AL,Maceió,FEMININO,Branca,ENSINO FUNDAMENTAL COMPLETO,261
AL,Maceió,FEMININO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,933
AL,Maceió,FEMININO,Branca,ENSINO MÉDIO COMPLETO,3083
AL,Maceió,FEMININO,Branca,ENSINO MÉDIO INCOMPLETO,1630
AL,Maceió,FEMININO,Branca,LÊ E ESCREVE,175
AL,Maceió,FEMININO,Branca,SUPERIOR COMPLETO,1840
AL,Maceió,FEMININO,Branca,SUPERIOR INCOMPLETO,892
AL,Maceió,FEMININO,Indígena,ENSINO FUNDAMENTAL COMPLETO,5
AL,Maceió,FEMININO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,5
AL,Maceió,FEMININO,Indígena,ENSINO MÉDIO COMPLETO,7
AL,Maceió,FEMININO,Indígena,ENSINO MÉDIO INCOMPLETO,8
AL,Maceió,FEMININO,Indígena,LÊ E ESCREVE,1
AL,Maceió,FEMININO,Indígena,SUPERIOR COMPLETO,2
AL,Maceió,FEMININO,Indígena,SUPERIOR INCOMPLETO,1
AL,Maceió,FEMININO,NÃO INFORMADO,ANALFABETO,11148
AL,Maceió,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,15537
AL,Maceió,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,66494
AL,Maceió,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,91556
AL,Maceió,FEMININO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,46112
AL,Maceió,FEMININO,NÃO INFORMADO,LÊ E ESCREVE,18509
AL,Maceió,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,44417
AL,Maceió,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,24006
AL,Maceió,FEMININO,Parda,ANALFABETO,534
AL,Maceió,FEMININO,Parda,ENSINO FUNDAMENTAL COMPLETO,945
AL,Maceió,FEMININO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,4294
AL,Maceió,FEMININO,Parda,ENSINO MÉDIO COMPLETO,7065
AL,Maceió,FEMININO,Parda,ENSINO MÉDIO INCOMPLETO,4355
AL,Maceió,FEMININO,Parda,LÊ E ESCREVE,864
AL,Maceió,FEMININO,Parda,SUPERIOR COMPLETO,1929
AL,Maceió,FEMININO,Parda,SUPERIOR INCOMPLETO,1058
AL,Maceió,FEMININO,Preta,ANALFABETO,88
AL,Maceió,FEMININO,Preta,ENSINO FUNDAMENTAL COMPLETO,125
AL,Maceió,FEMININO,Preta,ENSINO FUNDAMENTAL INCOMPLETO,575
AL,Maceió,FEMININO,Preta,ENSINO MÉDIO COMPLETO,789
AL,Maceió,FEMININO,Preta,ENSINO MÉDIO INCOMPLETO,558
AL,Maceió,FEMININO,Preta,LÊ E ESCREVE,89
AL,Maceió,FEMININO,Preta,SUPERIOR COMPLETO,148
AL,Maceió,FEMININO,Preta,SUPERIOR INCOMPLETO,125
AL,Maceió,MASCULINO,Amarela,ANALFABETO,3
AL,Maceió,MASCULINO,Amarela,ENSINO FUNDAMENTAL COMPLETO,11
AL,Maceió,MASCULINO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,14
AL,Maceió,MASCULINO,Amarela,ENSINO MÉDIO COMPLETO,41
AL,Maceió,MASCULINO,Amarela,ENSINO MÉDIO INCOMPLETO,30
AL,Maceió,MASCULINO,Amarela,LÊ E ESCREVE,4
AL,Maceió,MASCULINO,Amarela,SUPERIOR COMPLETO,11
AL,Maceió,MASCULINO,Amarela,SUPERIOR INCOMPLETO,14
AL,Maceió,MASCULINO,Branca,ANALFABETO,71
AL,Maceió,MASCULINO,Branca,ENSINO FUNDAMENTAL COMPLETO,206
AL,Maceió,MASCULINO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,687
AL,Maceió,MASCULINO,Branca,ENSINO MÉDIO COMPLETO,2204
AL,Maceió,MASCULINO,Branca,ENSINO MÉDIO INCOMPLETO,1495
AL,Maceió,MASCULINO,Branca,LÊ E ESCREVE,134
AL,Maceió,MASCULINO,Branca,SUPERIOR COMPLETO,876
AL,Maceió,MASCULINO,Branca,SUPERIOR INCOMPLETO,593
AL,Maceió,MASCULINO,Indígena,ANALFABETO,1
AL,Maceió,MASCULINO,Indígena,ENSINO FUNDAMENTAL COMPLETO,1
AL,Maceió,MASCULINO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,10
AL,Maceió,MASCULINO,Indígena,ENSINO MÉDIO COMPLETO,8
AL,Maceió,MASCULINO,Indígena,ENSINO MÉDIO INCOMPLETO,9
AL,Maceió,MASCULINO,Indígena,LÊ E ESCREVE,1
AL,Maceió,MASCULINO,Indígena,SUPERIOR COMPLETO,2
AL,Maceió,MASCULINO,NÃO INFORMADO,ANALFABETO,6458
AL,Maceió,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,14059
AL,Maceió,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,59263
AL,Maceió,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,70385
AL,Maceió,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,42707
AL,Maceió,MASCULINO,NÃO INFORMADO,LÊ E ESCREVE,14516
AL,Maceió,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,27777
AL,Maceió,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,20769
AL,Maceió,MASCULINO,Parda,ANALFABETO,481
AL,Maceió,MASCULINO,Parda,ENSINO FUNDAMENTAL COMPLETO,758
AL,Maceió,MASCULINO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,3711
AL,Maceió,MASCULINO,Parda,ENSINO MÉDIO COMPLETO,5175
AL,Maceió,MASCULINO,Parda,ENSINO MÉDIO INCOMPLETO,4399
AL,Maceió,MASCULINO,Parda,LÊ E ESCREVE,701
AL,Maceió,MASCULINO,Parda,SUPERIOR COMPLETO,937
AL,Maceió,MASCULINO,Parda,SUPERIOR INCOMPLETO,803
AL,Maceió,MASCULINO,Preta,ANALFABETO,129
AL,Maceió,MASCULINO,Preta,ENSINO FUNDAMENTAL COMPLETO,130
AL,Maceió,MASCULINO,Preta,ENSINO FUNDAMENTAL INCOMPLETO,734
AL,Maceió,MASCULINO,Preta,ENSINO MÉDIO COMPLETO,828
AL,Maceió,MASCULINO,Preta,ENSINO MÉDIO INCOMPLETO,776
AL,Maceió,MASCULINO,Preta,LÊ E ESCREVE,131
AL,Maceió,MASCULINO,Preta,SUPERIOR COMPLETO,97
AL,Maceió,MASCULINO,Preta,SUPERIOR INCOMPLETO,117
BA,Salvador,FEMININO,Amarela,ANALFABETO,1
BA,Salvador,FEMININO,Amarela,ENSINO FUNDAMENTAL COMPLETO,10
BA,Salvador,FEMININO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,32
BA,Salvador,FEMININO,Amarela,ENSINO MÉDIO COMPLETO,97
BA,Salvador,FEMININO,Amarela,ENSINO MÉDIO INCOMPLETO,65
BA,Salvador,FEMININO,Amarela,LÊ E ESCREVE,4
BA,Salvador,FEMININO,Amarela,SUPERIOR COMPLETO,50
BA,Salvador,FEMININO,Amarela,SUPERIOR INCOMPLETO,25
BA,Salvador,FEMININO,Branca,ANALFABETO,24
BA,Salvador,FEMININO,Branca,ENSINO FUNDAMENTAL COMPLETO,166
BA,Salvador,FEMININO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,549
BA,Salvador,FEMININO,Branca,ENSINO MÉDIO COMPLETO,2784
BA,Salvador,FEMININO,Branca,ENSINO MÉDIO INCOMPLETO,1738
BA,Salvador,FEMININO,Branca,LÊ E ESCREVE,59
BA,Salvador,FEMININO,Branca,SUPERIOR COMPLETO,2413
BA,Salvador,FEMININO,Branca,SUPERIOR INCOMPLETO,1135
BA,Salvador,FEMININO,Indígena,ENSINO FUNDAMENTAL COMPLETO,1
BA,Salvador,FEMININO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,9
BA,Salvador,FEMININO,Indígena,ENSINO MÉDIO COMPLETO,18
BA,Salvador,FEMININO,Indígena,ENSINO MÉDIO INCOMPLETO,10
BA,Salvador,FEMININO,Indígena,LÊ E ESCREVE,1
BA,Salvador,FEMININO,Indígena,SUPERIOR COMPLETO,13
BA,Salvador,FEMININO,Indígena,SUPERIOR INCOMPLETO,9
BA,Salvador,FEMININO,NÃO INFORMADO,ANALFABETO,7547
BA,Salvador,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,44293
BA,Salvador,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,162105
BA,Salvador,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,384050
BA,Salvador,FEMININO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,139151
BA,Salvador,FEMININO,NÃO INFORMADO,LÊ E ESCREVE,32262
BA,Salvador,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,186770
BA,Salvador,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,69920
BA,Salvador,FEMININO,Parda,ANALFABETO,167
BA,Salvador,FEMININO,Parda,ENSINO FUNDAMENTAL COMPLETO,936
BA,Salvador,FEMININO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,4006
BA,Salvador,FEMININO,Parda,ENSINO MÉDIO COMPLETO,10996
BA,Salvador,FEMININO,Parda,ENSINO MÉDIO INCOMPLETO,7072
BA,Salvador,FEMININO,Parda,LÊ E ESCREVE,506
BA,Salvador,FEMININO,Parda,SUPERIOR COMPLETO,3916
BA,Salvador,FEMININO,Parda,SUPERIOR INCOMPLETO,1918
BA,Salvador,FEMININO,Preta,ANALFABETO,135
BA,Salvador,FEMININO,Preta,ENSINO FUNDAMENTAL COMPLETO,746
BA,Salvador,FEMININO,Preta,ENSINO FUNDAMENTAL INCOMPLETO,3335
BA,Salvador,FEMININO,Preta,ENSINO MÉDIO COMPLETO,8362
BA,Salvador,FEMININO,Preta,ENSINO MÉDIO INCOMPLETO,5925
BA,Salvador,FEMININO,Preta,LÊ E ESCREVE,400
BA,Salvador,FEMININO,Preta,SUPERIOR COMPLETO,1899
BA,Salvador,FEMININO,Preta,SUPERIOR INCOMPLETO,1209
BA,Salvador,MASCULINO,Amarela,ENSINO FUNDAMENTAL COMPLETO,11
BA,Salvador,MASCULINO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,20
BA,Salvador,MASCULINO,Amarela,ENSINO MÉDIO COMPLETO,50
BA,Salvador,MASCULINO,Amarela,ENSINO MÉDIO INCOMPLETO,53
BA,Salvador,MASCULINO,Amarela,LÊ E ESCREVE,4
BA,Salvador,MASCULINO,Amarela,SUPERIOR COMPLETO,19
BA,Salvador,MASCULINO,Amarela,SUPERIOR INCOMPLETO,15
BA,Salvador,MASCULINO,Branca,ANALFABETO,26
BA,Salvador,MASCULINO,Branca,ENSINO FUNDAMENTAL COMPLETO,163
BA,Salvador,MASCULINO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,518
BA,Salvador,MASCULINO,Branca,ENSINO MÉDIO COMPLETO,2439
BA,Salvador,MASCULINO,Branca,ENSINO MÉDIO INCOMPLETO,1913
BA,Salvador,MASCULINO,Branca,LÊ E ESCREVE,67
BA,Salvador,MASCULINO,Branca,SUPERIOR COMPLETO,1391
BA,Salvador,MASCULINO,Branca,SUPERIOR INCOMPLETO,974
BA,Salvador,MASCULINO,Indígena,ANALFABETO,1
BA,Salvador,MASCULINO,Indígena,ENSINO FUNDAMENTAL COMPLETO,3
BA,Salvador,MASCULINO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,9
BA,Salvador,MASCULINO,Indígena,ENSINO MÉDIO COMPLETO,22
BA,Salvador,MASCULINO,Indígena,ENSINO MÉDIO INCOMPLETO,17
BA,Salvador,MASCULINO,Indígena,LÊ E ESCREVE,1
BA,Salvador,MASCULINO,Indígena,SUPERIOR COMPLETO,5
BA,Salvador,MASCULINO,Indígena,SUPERIOR INCOMPLETO,3
BA,Salvador,MASCULINO,NÃO INFORMADO,ANALFABETO,4421
BA,Salvador,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,45037
BA,Salvador,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,149773
BA,Salvador,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,296179
BA,Salvador,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,131539
BA,Salvador,MASCULINO,NÃO INFORMADO,LÊ E ESCREVE,24392
BA,Salvador,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,117660
BA,Salvador,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,57894
BA,Salvador,MASCULINO,Parda,ANALFABETO,201
BA,Salvador,MASCULINO,Parda,ENSINO FUNDAMENTAL COMPLETO,1123
BA,Salvador,MASCULINO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,4798
BA,Salvador,MASCULINO,Parda,ENSINO MÉDIO COMPLETO,8451
BA,Salvador,MASCULINO,Parda,ENSINO MÉDIO INCOMPLETO,7449
BA,Salvador,MASCULINO,Parda,LÊ E ESCREVE,670
BA,Salvador,MASCULINO,Parda,SUPERIOR COMPLETO,1882
BA,Salvador,MASCULINO,Parda,SUPERIOR INCOMPLETO,1411
BA,Salvador,MASCULINO,Preta,ANALFABETO,271
BA,Salvador,MASCULINO,Preta,ENSINO FUNDAMENTAL COMPLETO,995
BA,Salvador,MASCULINO,Preta,ENSINO FUNDAMENTAL INCOMPLETO,4847
BA,Salvador,MASCULINO,Preta,ENSINO MÉDIO COMPLETO,6820
BA,Salvador,MASCULINO,Preta,ENSINO MÉDIO INCOMPLETO,7030
BA,Salvador,MASCULINO,Preta,LÊ E ESCREVE,648
BA,Salvador,MASCULINO,Preta,SUPERIOR COMPLETO,863
BA,Salvador,MASCULINO,Preta,SUPERIOR INCOMPLETO,840
CE,Fortaleza,FEMININO,Amarela,ANALFABETO,4
CE,Fortaleza,FEMININO,Amarela,ENSINO FUNDAMENTAL COMPLETO,21
CE,Fortaleza,FEMININO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,40
CE,Fortaleza,FEMININO,Amarela,ENSINO MÉDIO COMPLETO,177
CE,Fortaleza,FEMININO,Amarela,ENSINO MÉDIO INCOMPLETO,84
CE,Fortaleza,FEMININO,Amarela,LÊ E ESCREVE,4
CE,Fortaleza,FEMININO,Amarela,SUPERIOR COMPLETO,83
CE,Fortaleza,FEMININO,Amarela,SUPERIOR INCOMPLETO,46
CE,Fortaleza,FEMININO,Branca,ANALFABETO,139
CE,Fortaleza,FEMININO,Branca,ENSINO FUNDAMENTAL COMPLETO,545
CE,Fortaleza,FEMININO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,1306
CE,Fortaleza,FEMININO,Branca,ENSINO MÉDIO COMPLETO,6947
CE,Fortaleza,FEMININO,Branca,ENSINO MÉDIO INCOMPLETO,5027
CE,Fortaleza,FEMININO,Branca,LÊ E ESCREVE,242
CE,Fortaleza,FEMININO,Branca,SUPERIOR COMPLETO,3687
CE,Fortaleza,FEMININO,Branca,SUPERIOR INCOMPLETO,2957
CE,Fortaleza,FEMININO,Indígena,ANALFABETO,3
CE,Fortaleza,FEMININO,Indígena,ENSINO FUNDAMENTAL COMPLETO,5
CE,Fortaleza,FEMININO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,12
CE,Fortaleza,FEMININO,Indígena,ENSINO MÉDIO COMPLETO,38
CE,Fortaleza,FEMININO,Indígena,ENSINO MÉDIO INCOMPLETO,28
CE,Fortaleza,FEMININO,Indígena,LÊ E ESCREVE,2
CE,Fortaleza,FEMININO,Indígena,SUPERIOR COMPLETO,9
CE,Fortaleza,FEMININO,Indígena,SUPERIOR INCOMPLETO,9
CE,Fortaleza,FEMININO,NÃO INFORMADO,ANALFABETO,12011
CE,Fortaleza,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,56242
CE,Fortaleza,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,157924
CE,Fortaleza,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,288485
CE,Fortaleza,FEMININO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,123841
CE,Fortaleza,FEMININO,NÃO INFORMADO,LÊ E ESCREVE,37433
CE,Fortaleza,FEMININO,NÃO INFORMADO,NÃO INFORMADO,46
CE,Fortaleza,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,162366
CE,Fortaleza,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,64099
CE,Fortaleza,FEMININO,Parda,ANALFABETO,550
CE,Fortaleza,FEMININO,Parda,ENSINO FUNDAMENTAL COMPLETO,2247
CE,Fortaleza,FEMININO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,6236
CE,Fortaleza,FEMININO,Parda,ENSINO MÉDIO COMPLETO,15430
CE,Fortaleza,FEMININO,Parda,ENSINO MÉDIO INCOMPLETO,10605
CE,Fortaleza,FEMININO,Parda,LÊ E ESCREVE,977
CE,Fortaleza,FEMININO,Parda,SUPERIOR COMPLETO,4183
CE,Fortaleza,FEMININO,Parda,SUPERIOR INCOMPLETO,3181
CE,Fortaleza,FEMININO,Preta,ANALFABETO,90
CE,Fortaleza,FEMININO,Preta,ENSINO FUNDAMENTAL COMPLETO,202
CE,Fortaleza,FEMININO,Preta,ENSINO FUNDAMENTAL INCOMPLETO,696
CE,Fortaleza,FEMININO,Preta,ENSINO MÉDIO COMPLETO,1721
CE,Fortaleza,FEMININO,Preta,ENSINO MÉDIO INCOMPLETO,1336
CE,Fortaleza,FEMININO,Preta,LÊ E ESCREVE,107
CE,Fortaleza,FEMININO,Preta,SUPERIOR COMPLETO,370
CE,Fortaleza,FEMININO,Preta,SUPERIOR INCOMPLETO,370
CE,Fortaleza,MASCULINO,Amarela,ANALFABETO,2
CE,Fortaleza,MASCULINO,Amarela,ENSINO FUNDAMENTAL COMPLETO,10
CE,Fortaleza,MASCULINO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,26
CE,Fortaleza,MASCULINO,Amarela,ENSINO MÉDIO COMPLETO,92
CE,Fortaleza,MASCULINO,Amarela,ENSINO MÉDIO INCOMPLETO,59
CE,Fortaleza,MASCULINO,Amarela,LÊ E ESCREVE,4
CE,Fortaleza,MASCULINO,Amarela,SUPERIOR COMPLETO,27
CE,Fortaleza,MASCULINO,Amarela,SUPERIOR INCOMPLETO,16
CE,Fortaleza,MASCULINO,Branca,ANALFABETO,194
CE,Fortaleza,MASCULINO,Branca,ENSINO FUNDAMENTAL COMPLETO,485
CE,Fortaleza,MASCULINO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,1348
CE,Fortaleza,MASCULINO,Branca,ENSINO MÉDIO COMPLETO,5478
CE,Fortaleza,MASCULINO,Branca,ENSINO MÉDIO INCOMPLETO,4569
CE,Fortaleza,MASCULINO,Branca,LÊ E ESCREVE,230
CE,Fortaleza,MASCULINO,Branca,SUPERIOR COMPLETO,2047
CE,Fortaleza,MASCULINO,Branca,SUPERIOR INCOMPLETO,2217
CE,Fortaleza,MASCULINO,Indígena,ANALFABETO,3
CE,Fortaleza,MASCULINO,Indígena,ENSINO FUNDAMENTAL COMPLETO,6
CE,Fortaleza,MASCULINO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,14
CE,Fortaleza,MASCULINO,Indígena,ENSINO MÉDIO COMPLETO,41
CE,Fortaleza,MASCULINO,Indígena,ENSINO MÉDIO INCOMPLETO,26
CE,Fortaleza,MASCULINO,Indígena,LÊ E ESCREVE,3
CE,Fortaleza,MASCULINO,Indígena,SUPERIOR COMPLETO,4
CE,Fortaleza,MASCULINO,Indígena,SUPERIOR INCOMPLETO,8
CE,Fortaleza,MASCULINO,NÃO INFORMADO,ANALFABETO,9308
CE,Fortaleza,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,48202
CE,Fortaleza,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,129166
CE,Fortaleza,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,234195
CE,Fortaleza,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,118336
CE,Fortaleza,MASCULINO,NÃO INFORMADO,LÊ E ESCREVE,31544
CE,Fortaleza,MASCULINO,NÃO INFORMADO,NÃO INFORMADO,58
CE,Fortaleza,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,108160
CE,Fortaleza,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,59527
CE,Fortaleza,MASCULINO,Parda,ANALFABETO,889
CE,Fortaleza,MASCULINO,Parda,ENSINO FUNDAMENTAL COMPLETO,1842
CE,Fortaleza,MASCULINO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,5716
CE,Fortaleza,MASCULINO,Parda,ENSINO MÉDIO COMPLETO,11857
CE,Fortaleza,MASCULINO,Parda,ENSINO MÉDIO INCOMPLETO,10194
CE,Fortaleza,MASCULINO,Parda,LÊ E ESCREVE,1088
CE,Fortaleza,MASCULINO,Parda,SUPERIOR COMPLETO,2185
CE,Fortaleza,MASCULINO,Parda,SUPERIOR INCOMPLETO,2271
CE,Fortaleza,MASCULINO,Preta,ANALFABETO,187
CE,Fortaleza,MASCULINO,Preta,ENSINO FUNDAMENTAL COMPLETO,271
CE,Fortaleza,MASCULINO,Preta,ENSINO FUNDAMENTAL INCOMPLETO,970
CE,Fortaleza,MASCULINO,Preta,ENSINO MÉDIO COMPLETO,1951
CE,Fortaleza,MASCULINO,Preta,ENSINO MÉDIO INCOMPLETO,1792
CE,Fortaleza,MASCULINO,Preta,LÊ E ESCREVE,177
CE,Fortaleza,MASCULINO,Preta,SUPERIOR COMPLETO,262
CE,Fortaleza,MASCULINO,Preta,SUPERIOR INCOMPLETO,360
CE,Fortaleza,NÃO INFORMADO,NÃO INFORMADO,ANALFABETO,6
CE,Fortaleza,NÃO INFORMADO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,10
CE,Fortaleza,NÃO INFORMADO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,19
CE,Fortaleza,NÃO INFORMADO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,20
CE,Fortaleza,NÃO INFORMADO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,6
CE,Fortaleza,NÃO INFORMADO,NÃO INFORMADO,LÊ E ESCREVE,33
CE,Fortaleza,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,2
CE,Fortaleza,NÃO INFORMADO,NÃO INFORMADO,SUPERIOR COMPLETO,3
CE,Fortaleza,NÃO INFORMADO,NÃO INFORMADO,SUPERIOR INCOMPLETO,2
MA,São Luís,FEMININO,Amarela,ENSINO FUNDAMENTAL COMPLETO,9
MA,São Luís,FEMININO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,33
MA,São Luís,FEMININO,Amarela,ENSINO MÉDIO COMPLETO,116
MA,São Luís,FEMININO,Amarela,ENSINO MÉDIO INCOMPLETO,75
MA,São Luís,FEMININO,Amarela,LÊ E ESCREVE,3
MA,São Luís,FEMININO,Amarela,SUPERIOR COMPLETO,65
MA,São Luís,FEMININO,Amarela,SUPERIOR INCOMPLETO,25
MA,São Luís,FEMININO,Branca,ANALFABETO,45
MA,São Luís,FEMININO,Branca,ENSINO FUNDAMENTAL COMPLETO,324
MA,São Luís,FEMININO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,628
MA,São Luís,FEMININO,Branca,ENSINO MÉDIO COMPLETO,3181
MA,São Luís,FEMININO,Branca,ENSINO MÉDIO INCOMPLETO,1767
MA,São Luís,FEMININO,Branca,LÊ E ESCREVE,106
MA,São Luís,FEMININO,Branca,SUPERIOR COMPLETO,1828
MA,São Luís,FEMININO,Branca,SUPERIOR INCOMPLETO,738
MA,São Luís,FEMININO,Indígena,ANALFABETO,1
MA,São Luís,FEMININO,Indígena,ENSINO FUNDAMENTAL COMPLETO,2
MA,São Luís,FEMININO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,7
MA,São Luís,FEMININO,Indígena,ENSINO MÉDIO COMPLETO,14
MA,São Luís,FEMININO,Indígena,ENSINO MÉDIO INCOMPLETO,9
MA,São Luís,FEMININO,Indígena,LÊ E ESCREVE,2
MA,São Luís,FEMININO,Indígena,SUPERIOR COMPLETO,1
MA,São Luís,FEMININO,Indígena,SUPERIOR INCOMPLETO,1
MA,São Luís,FEMININO,NÃO INFORMADO,ANALFABETO,3988
MA,São Luís,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,20783
MA,São Luís,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,41574
MA,São Luís,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,156928
MA,São Luís,FEMININO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,51068
MA,São Luís,FEMININO,NÃO INFORMADO,LÊ E ESCREVE,8989
MA,São Luís,FEMININO,NÃO INFORMADO,NÃO INFORMADO,1
MA,São Luís,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,54476
MA,São Luís,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,25527
MA,São Luís,FEMININO,Parda,ANALFABETO,234
MA,São Luís,FEMININO,Parda,ENSINO FUNDAMENTAL COMPLETO,1692
MA,São Luís,FEMININO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,3723
